location,condition,Listed_date,Listed_time,drive,fuel,lat,long,odometer,paint color,price,size,title status,transmission,type,year make model,cylinders,year,make,re_model,MODELS
dallas,excellent,01-06-2022,18;17,4wd,gas,32.856174,-96.672722,200396,,6995,,clean,automatic,SUV,2010 Nissan Xterra,6,2010,Nissan,Nissan Xterra,Xterra
dallas,excellent,01-06-2022,18;16,fwd,hybrid,32.856174,-96.672722,152434,,9495,,clean,automatic,SUV,2007 Lexus RX 400h,6,2007,Lexus,Lexus RX 400h,RX 400h
dallas,excellent,01-06-2022,18;16,fwd,gas,32.7785,-97.0834,90000,blue,800,mid-size,clean,automatic,sedan,2015 hyundai elantra,4,2015,hyundai,hyundai elantra,elantra
dallas,,01-06-2022,18;16,fwd,gas,33.681077,-112.05849,61482,,25900,,clean,automatic,van,2007 Honda Odyssey EX Power Side-Ent,6,2007,Honda,Honda Odyssey EX Power Side-Ent,Odyssey EX Power Side-Ent
dallas,excellent,01-06-2022,18;16,rwd,gas,32.856174,-96.672722,70523,,8995,mid-size,clean,automatic,sedan,2005 Infiniti G35 Sedan,6,2005,Infiniti,Infiniti G35 Sedan,G35 Sedan
dallas,,01-06-2022,18;16,fwd,gas,33.681077,-112.05849,53432,,37900,,clean,automatic,van,2014 Dodge Grand Caravan SXT Manual,6,2014,Dodge,Dodge Grand Caravan SXT Manual,Grand Caravan SXT Manual
dallas,excellent,01-06-2022,18;16,rwd,gas,32.856174,-96.672722,177463,,12495,mid-size,clean,automatic,coupe,2014 Chevrolet Camaro,6,2014,Chevrolet,Chevrolet Camaro,Camaro
dallas,excellent,01-06-2022,18;16,fwd,gas,32.7785,-97.0834,90000,blue,800,mid-size,clean,automatic,sedan,2015 hyundai elantra,4,2015,hyundai,hyundai elantra,elantra
dallas,excellent,01-06-2022,18;15,fwd,gas,32.856174,-96.672722,110148,,5995,,clean,automatic,SUV,2004 Volvo XC90,5,2004,Volvo,Volvo XC90,XC90
dallas,excellent,01-06-2022,18;15,rwd,gas,32.856174,-96.672722,163620,,9995,,clean,automatic,sedan,2012 Chrysler 300,6,2012,Chrysler,Chrysler 300,300
dallas,excellent,01-06-2022,18;15,4wd,gas,32.856174,-96.672722,182350,,11995,,clean,automatic,SUV,2005 Lexus GX 470,8,2005,Lexus,Lexus GX 470,GX 470
dallas,good,01-06-2022,18;14,fwd,gas,33.019394,-96.752722,155839,black,8500,,clean,automatic,pickup,2005 nissan frontier king cab,6,2005,nissan,nissan frontier king cab,frontier king cab
dallas,,01-06-2022,18;14,,gas,32.8664,-97.2891,213000,,7950,,clean,automatic,,2011 ford expedition,8,2011,Ford,ford expedition,expedition
dallas,,01-06-2022,18;14,fwd,gas,33.681077,-112.05849,61105,,33500,,clean,automatic,van,2012 Chrysler Town & Country Tou,6,2012,Chrysler,Chrysler Town & Country Tou,Town & Country Tou
dallas,good,01-06-2022,18;12,,diesel,32.8252,-96.8388,732890,blue,26900,,clean,manual,other,2015 international prostar,,2015,international,international prostar,prostar
dallas,,01-06-2022,18;11,,gas,32.5773,-97.1416,128000,,8750,,clean,automatic,,2014 honda accord,,2014,honda,honda accord,accord
dallas,like new,01-06-2022,18;10,rwd,gas,32.70258,-96.659903,104057,,1244,,clean,automatic,truck,2004 chevy silverado 1500 lt crew cab,8,2004,chevy,chevy silverado 1500 lt crew cab,silverado 1500 lt crew cab
dallas,,01-06-2022,18;10,,gas,32.7233,-97.269,200000,,3750,,clean,other,,2004 chevrolet tahoe,,2004,chevrolet,chevrolet tahoe,tahoe
dallas,,01-06-2022,18;06,fwd,gas,35.219501,-97.479711,156000,,6988,,clean,automatic,pickup,2003 FORD F-150,,2003,Ford,FORD F-150,F-150
dallas,,01-06-2022,18;04,,gas,32.931,-97.2843,98000,,3800,,clean,automatic,,2003 ford explorer,,2003,Ford,ford explorer,explorer
dallas,,01-06-2022,18;04,,gas,32.931,-97.2843,150000,,4000,,clean,automatic,,2005 Dodge Ram,,2005,Dodge,Dodge Ram,Ram
